id,category,subcategory,difficulty,question,answer,explanation,source,source_checked_date,status,app_ready,review_notes
P3-014,part3,高気圧障害・救急,basic,一酸化炭素中毒にかかった患者の皮膚や粘膜は、チアノーゼ（青紫色）を呈する。,×,不正解！一酸化炭素ヘモグロビンの色により「鮮紅色（さくら色）」になります。顔色が良く見えるため発見が遅れることがあります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-015,part3,高気圧障害・救急,basic,二酸化炭素（CO2）中毒の初期症状として、呼吸数が減少し、眠気を催す。,×,不正解！初期は呼吸中枢が刺激され、呼吸が「激しく（息切れ）」なり、頭痛などを伴います。進行すると意識喪失が起こります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-016,part3,高気圧障害・救急,basic,減圧症（DCS）は、浮上に伴う減圧により、体内に溶け込んでいた不活性ガス（窒素）が気泡化することで発生する。,○,正解！サイダーの栓を抜いた時に泡が出るのと同じ原理です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-017,part3,高気圧障害・救急,basic,減圧症の第1型（軽症）には、筋肉や関節の痛み（ベンズ）や、皮膚のかゆみ・発疹などが含まれる。,○,正解！関節痛が最も代表的な症状です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-018,part3,高気圧障害・救急,basic,減圧症の第2型（重症）には、呼吸困難（チョークス）や、知覚麻痺・運動麻痺などの中枢神経症状が含まれる。,○,正解！直ちに再圧治療が必要な緊急事態です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-019,part3,高気圧障害・救急,basic,肺気圧外傷（肺破裂）は、息を止めたまま急浮上した際などに、肺胞内の空気が膨張して肺組織を損傷する障害である。,○,正解！絶対に息を止めてはいけません。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-020,part3,高気圧障害・救急,basic,動脈ガス塞栓症（アルテリアル・ガス・エンボリズム）は、肺破裂により血管内に入った気泡が、脳などの血管を詰まらせる障害である。,○,正解！浮上直後に意識不明になるなど、最も致死率が高い潜水事故の一つです。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-021,part3,高気圧障害・救急,basic,気胸（ききょう）は、肺破裂により漏れた空気が胸膜腔（肺と胸壁の間）にたまり、肺がしぼんでしまう状態である。,○,正解！胸の痛みや呼吸困難を伴います。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-022,part3,高気圧障害・救急,basic,縦隔気腫（じゅうかくきしゅ）は、漏れた空気が心臓や気管のある「縦隔」にたまるもので、首のあたりを圧迫すると雪を握るような音がすることがある。,○,正解！皮下気腫を伴うこともあります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-023,part3,高気圧障害・救急,basic,異圧性骨壊死（ずい性骨壊死）は、急性障害であり、潜水直後に激しい骨の痛みを伴う。,×,不正解！これは「晩発性（慢性）障害」です。長年の潜水業務の結果、数年〜数十年後に大腿骨頭などが壊死する病気で、初期には自覚症状がないことが多いです。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-024,part3,高気圧障害・救急,basic,副鼻腔（サイナス）スクイズは、前頭洞や上顎洞の中の圧力が調整できず、眉間や頬に激痛が走る障害である。,○,正解！鼻水に血が混じることもあります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-025,part3,高気圧障害・救急,basic,チョークス（肺減圧症）は、肺の毛細血管に多数の気泡が詰まることで起こり、咳き込みや呼吸困難を引き起こす。,○,正解！窒息（Choke）のような苦しさを伴う危険な状態です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-026,part3,高気圧障害・救急,basic,減圧症の治療には、純酸素の吸入のみが有効であり、再圧室の使用は推奨されない。,×,不正解！減圧症の根本治療は「再圧治療（チャンバー）」です。純酸素吸入は応急処置としては有効ですが、気泡を消滅させるには加圧が必要です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-027,part3,高気圧障害・救急,basic,シャローウォーターブラックアウト（浅所失神）は、過呼吸（ハイパーベンチレーション）後の息こらえ潜水で、酸素不足により失神する現象である。,○,正解！二酸化炭素濃度が低いため、呼吸苦を感じないまま、酸素切れで突然ブラックアウトします。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-028,part3,高気圧障害・救急,basic,外リンパ瘻（ろう）は、強力な耳抜きなどにより内耳の窓が破れ、めまいや難聴が起こる障害である。,○,正解！減圧症と区別がつきにくいことがありますが、耳抜き動作との関連が疑われます。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-029,part3,高気圧障害・救急,basic,空間識失調（バーティゴ）は、冷水が耳に入ったり、内耳の気圧障害により、上下左右の感覚を失う状態である。,○,正解！パニックになりやすいので、計器を見たり、泡の上がる方向を見て落ち着く必要があります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-030,part3,高気圧障害・救急,basic,凍傷（とうしょう）は、寒冷により体温が低下し、全身の機能が阻害される状態をいう。,×,不正解！全身の体温が下がるのは「低体温症（ハイポサーミア）」です。「凍傷」は体の一部（指先など）が凍結して組織が壊死することです。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-031,part3,高気圧障害・救急,basic,減圧症のリスク因子である「脱水」は、血液の粘度を高め、気泡の排出を妨げる。,○,正解！潜水前後の十分な水分補給が重要です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-032,part3,高気圧障害・救急,basic,肥満の人は、脂肪組織に窒素が溶け込みやすいため、痩せている人よりも減圧症のリスクが高い。,○,正解！窒素は脂肪によく溶けます（脂溶性）。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-033,part3,高気圧障害・救急,basic,一次救命処置において、傷病者に反応がない場合、まず最初に行うべきは胸骨圧迫である。,×,不正解！まず「大声で助けを呼ぶ（119番・AED手配）」を行い、その後に「呼吸の確認」を行います。普段通りの呼吸がなければ、直ちに胸骨圧迫を開始します。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-034,part3,高気圧障害・救急,basic,胸骨圧迫（心臓マッサージ）は、1分間に100〜120回のテンポで行い、胸が約5〜6cm沈む強さ（6cmを超えない）で圧迫する。,○,正解！5cm以上深く、しかし6cmは超えないように垂直に押します。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-035,part3,高気圧障害・救急,basic,AED（自動体外式除細動器）は、心停止しているすべての傷病者に電気ショックを与えることができる。,×,不正解！AEDがショック必要と判断するのは「心室細動（痙攣）」などの特定のリズムだけです。完全に心静止している場合は「ショックは不要です」とアナウンスされます。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-036,part3,高気圧障害・救急,basic,止血法において、出血部位より心臓に近い部分を強く縛る「止血帯法」が第一選択である。,×,不正解！まずは出血部位を直接圧迫する「直接圧迫止血法」を行います。止血帯法は四肢切断などの大出血で、直接圧迫が困難な場合の最終手段です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-037,part3,高気圧障害・救急,basic,溺れている人を救助した際、水を吐かせるために腹部を圧迫することは、現在は推奨されていない。,○,正解！水を吐かせることより、速やかに人工呼吸や胸骨圧迫を開始することが優先されます。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-038,part3,高気圧障害・救急,basic,減圧症の発症時期は、潜水浮上後、約半数が1時間以内に発症する。,○,正解！ほとんどが24時間以内に発症しますが、浮上直後の発症ほど重症化しやすい傾向があります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-039,part3,高気圧障害・救急,basic,歯牙スクイズは、治療中の歯の内部にある空洞が、圧力変化により痛む現象である。,○,正解！虫歯治療中などの空気が入った歯で起こります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-040,part3,高気圧障害・救急,basic,酸素欠乏症（酸欠）は、酸素濃度が18%未満の空気を吸入することで発生し、意識喪失などを招く。,○,正解！10%以下になると即座に意識を失う危険があります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-041,part3,高気圧障害・救急,basic,高圧環境下では、声帯の振動数が変化し、声が高く鼻声のようになる「ドナルドダック・ボイス」現象が起こる。,×,不正解！これは「ヘリウム」を使用した際に起こる現象です。空気潜水（窒素）では起こりません。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-042,part3,高気圧障害・救急,basic,減圧症が疑われる場合、医療者の指示や手順に基づく純酸素の吸入は、応急処置として有効である。,○,正解！「酸素ウインドウ」の効果により、窒素の洗い出しが促進されます。ただし根本治療には再圧が必要です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-043,part3,高気圧障害・救急,basic,二酸化炭素の蓄積は、酸素中毒の痙攣（けいれん）を誘発しやすくする。,○,正解！脳の血流が増加し、酸素が多く供給されすぎるためです。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-044,part3,高気圧障害・救急,basic,マスクスクイズを防ぐためには、潜降中に鼻からマスク内に息を吐き出す必要がある。,○,正解！マスクブローといいます。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-045,part3,高気圧障害・救急,basic,潜水中に過度の呼吸抵抗を感じた場合、パニックを防ぐため、一旦動作を止めてゆっくりと深い呼吸をする。,○,正解！浅く速い呼吸はCO2蓄積を招き危険です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-046,part3,高気圧障害・救急,basic,息こらえ潜水（素潜り）において、水深が深くなると肺の中の空気は圧縮され、体積が減少する。,○,正解！ボイルの法則により、圧力に反比例して肺内の空気体積は小さくなります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-047,part3,高気圧障害・救急,basic,肺の全気量（肺活量＋残気量）は、水深が深くなっても変化しない。,○,正解！肺という容器の限界容量（解剖学的な大きさ）は変わりません（※中のガス体積は変わりますが、容器のサイズは不変という意味で正解となります）。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-048,part3,高気圧障害・救急,basic,ウエットスーツの首元がきつすぎると、頸動脈洞反射により徐脈（心拍数低下）や失神を起こすことがある。,○,正解！サイズ合わせは重要です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-049,part3,高気圧障害・救急,basic,減圧症にかかった場合、症状が軽ければ、再圧治療を受けずに自然治癒を待ってもよい。,×,不正解！後遺症が残る可能性があるため、軽症であっても専門医の診断と再圧治療を受けることが原則です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-050,part3,高気圧障害・救急,basic,カイロなどで患部を温めることは、減圧症の痛み（ベンズ）を緩和する応急処置として推奨される。,×,不正解！温めると気泡が膨張したり血流で移動したりして悪化する可能性があるため、通常は推奨されません。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-051,part3,呼吸生理,intermediate,肺胞でのガス交換は、分圧差による拡散とは無関係である。,×,分圧差に基づく拡散で行われる。,潜水生理の基礎,2026-05-19,approved,yes,6:4補正で誤問化
P3-052,part3,呼吸生理,intermediate,血液中の二酸化炭素の大部分は、遊離気体のまま運ばれる。,×,多くは重炭酸イオンなどの形で運搬される。,潜水生理の基礎,2026-05-19,approved,yes,batch1_reviewed
P3-053,part3,耳・副鼻腔,intermediate,中耳は耳管を介して咽頭とつながっておらず、圧平衡とは無関係である。,×,耳管を介して咽頭とつながり圧平衡に関与する。,潜水生理の基礎,2026-05-19,approved,yes,6:4補正で誤問化
P3-054,part3,耳・副鼻腔,intermediate,半規管は主に聴覚をつかさどる器官である。,×,半規管は平衡感覚に深く関与する。,潜水生理の基礎,2026-05-19,approved,yes,batch1_reviewed
P3-055,part3,スクイズ・圧外傷,intermediate,スクイズは、潜降時に閉鎖空間内圧が周囲圧より高くなって起こる。,×,低くなって起こる。,潜水障害の基礎,2026-05-19,approved,yes,6:4補正で誤問化
P3-056,part3,スクイズ・圧外傷,intermediate,マスクスクイズ防止には、潜降中にマスク内へ少量の息を送る。,○,マスク内圧を周囲圧に近づけるためである。,潜水障害の基礎,2026-05-19,approved,yes,batch1_reviewed
P3-057,part3,スクイズ・圧外傷,intermediate,リバースブロックは潜降時だけに起こり、浮上時には起こらない。,×,浮上時に膨張気体が抜けずに起こることがある。,潜水障害の基礎,2026-05-19,approved,yes,batch1_reviewed
P3-058,part3,窒素酔い,intermediate,窒素酔いは、一般に深度が深いほど起こりにくい。,×,深度が深いほど起こりやすい。,潜水障害の基礎,2026-05-19,approved,yes,6:4補正で誤問化
P3-059,part3,酸素中毒,intermediate,中枢神経型酸素中毒は、酸素分圧上昇で痙攣などを起こす危険がある。,○,高分圧酸素では重篤な症状の危険がある。,高気圧作業安全衛生規則解説,2026-05-19,approved,yes,batch1_reviewed
P3-060,part3,酸素中毒,intermediate,酸素中毒は、酸素分圧が低いほど起こりやすい。,×,一般に高い酸素分圧で危険性が高まる。,高気圧作業安全衛生規則解説,2026-05-19,approved,yes,batch1_reviewed
P3-061,part3,一酸化炭素中毒,intermediate,一酸化炭素はヘモグロビンと強く結合し、酸素運搬を阻害する。,○,酸素より強い結合力を持つため危険である。,潜水障害の基礎,2026-05-19,approved,yes,batch1_reviewed
P3-062,part3,二酸化炭素貯留,intermediate,二酸化炭素貯留は、呼吸数低下だけを起こし、頭痛や不安感は伴わない。,×,頭痛、不安感、呼吸困難などを起こし得る。,潜水障害の基礎,2026-05-19,approved,yes,batch1_reviewed
P3-063,part3,減圧症,intermediate,減圧症は、浮上時の減圧とは関係なく起こる。,×,浮上時の減圧による不活性ガス気泡化で起こる。,潜水障害の基礎,2026-05-19,approved,yes,6:4補正で誤問化
P3-064,part3,減圧症,intermediate,減圧症の軽症例では、関節痛や皮膚症状がみられることがある。,○,いわゆるベンズや皮膚症状などである。,潜水障害の基礎,2026-05-19,approved,yes,batch1_reviewed
P3-065,part3,減圧症,intermediate,減圧症では、中枢神経症状や呼吸症状が現れる重症例もある。,○,第2型減圧症では重い神経・呼吸症状が起こり得る。,潜水障害の基礎,2026-05-19,approved,yes,batch1_reviewed
P3-066,part3,減圧症,intermediate,減圧症が疑われても、症状が軽ければ自然治癒を待つのが第一選択である。,×,軽症でも適切な評価と治療判断が必要である。,潜水安全基準,2026-05-19,approved,yes,batch1_reviewed
P3-067,part3,肺気圧外傷,intermediate,息を止めたまま急浮上しても、肺気圧外傷の危険は高まらない。,×,危険が高まる。,潜水障害の基礎,2026-05-19,approved,yes,6:4補正で誤問化
P3-068,part3,肺気圧外傷,intermediate,動脈ガス塞栓症は、肺由来の気泡が血流に入り脳などを塞栓する障害である。,○,肺破裂に関連して重篤な神経症状を起こし得る。,潜水障害の基礎,2026-05-19,approved,yes,batch1_reviewed
P3-069,part3,肺気圧外傷,intermediate,気胸は、胃に空気がたまって起こる障害である。,×,胸膜腔へ空気が漏れ、肺が虚脱する障害である。,潜水障害の基礎,2026-05-19,approved,yes,batch1_reviewed
P3-070,part3,内耳障害,advanced,強い耳抜きで外リンパ瘻が起こると、めまいや難聴を生じることがある。,○,内耳の窓部損傷により症状が出る。,潜水障害の基礎,2026-05-19,approved,yes,batch1_reviewed
P3-071,part3,内耳障害,advanced,空間識失調は、内耳障害や冷水刺激などで起こることがある。,○,方向感覚を失いやすく危険である。,潜水障害の基礎,2026-05-19,approved,yes,batch1_reviewed
P3-072,part3,寒冷障害,advanced,凍傷と低体温症は同じ意味であり、局所障害と全身障害の区別はない。,×,凍傷は局所障害、低体温症は全身性障害である。,潜水障害の基礎,2026-05-19,approved,yes,batch1_reviewed
P3-073,part3,危険因子,advanced,脱水は減圧症リスクを高める要因の一つである。,○,循環や気泡排出に不利に働く。,潜水安全基準,2026-05-19,approved,yes,batch1_reviewed
P3-074,part3,危険因子,advanced,肥満は、脂肪組織への窒素溶解性のため減圧症リスク要因となり得る。,○,個人要因として考慮される。,潜水安全基準,2026-05-19,approved,yes,batch1_reviewed
P3-075,part3,一次救命処置,advanced,一次救命処置では、周囲の安全確認は不要である。,×,まず周囲の安全確認が必要である。,消防庁 応急手当,2026-05-19,approved,yes,6:4補正で誤問化
P3-076,part3,一次救命処置,advanced,胸骨圧迫は、通常1分間100〜120回のテンポで行う。,○,ガイドラインの標準的な範囲である。,消防庁 応急手当,2026-05-19,approved,yes,batch1_reviewed
P3-077,part3,一次救命処置,advanced,AEDは、心停止傷病者すべてに必ず電気ショックを与える装置である。,×,解析結果によりショック適応がない場合は通電しない。,消防庁 応急手当,2026-05-19,approved,yes,batch1_reviewed
P3-078,part3,止血・溺水対応,advanced,溺水者の救助後は、腹部圧迫で水を吐かせるのが基本である。,×,腹部圧迫は推奨されず、呼吸確認と蘇生を優先する。,消防庁 応急手当,2026-05-19,approved,yes,batch1_reviewed
P3-079,part3,止血・溺水対応,advanced,出血時の止血では、直接圧迫が基本となる。,○,止血帯は限定的状況で検討される。,消防庁 応急手当,2026-05-19,approved,yes,batch1_reviewed
P3-080,part3,潜水後対応,advanced,減圧症の疑いがある場合、医療指示に基づく純酸素投与は有効な応急処置となる。,○,体内不活性ガス排出促進などに有効である。,潜水安全基準,2026-05-19,approved,yes,batch1_reviewed
P3-081,part3,肺気圧外傷,advanced,息こらえ潜水では、深くなるほど肺内空気体積は圧縮されて減少する。,○,ボイルの法則に従い体積は減少する。,潜水生理の基礎,2026-05-19,approved,yes,batch2_reviewed
P3-082,part3,肺気圧外傷,advanced,水深が深くなっても肺内気体の体積は変化しない。,×,周囲圧上昇により体積は減少する。,潜水生理の基礎,2026-05-19,approved,yes,batch2_reviewed
P3-083,part3,首部圧迫,advanced,ウエットスーツ首元の過度な締め付けは、頸動脈洞反射を起こすことがある。,○,徐脈や失神の原因となり得る。,潜水障害の基礎,2026-05-19,approved,yes,batch2_reviewed
P3-084,part3,CO2と酸素中毒,advanced,二酸化炭素蓄積は、酸素中毒の発現を促進しやすい。,○,CO2貯留は痙攣などの危険因子となる。,高気圧作業安全衛生規則解説,2026-05-19,approved,yes,batch2_reviewed
P3-085,part3,歯牙スクイズ,advanced,歯牙スクイズは、治療中の歯の空隙などで圧力変化により痛みが出ることがある。,○,歯科的空隙が関与することがある。,潜水障害の基礎,2026-05-19,approved,yes,batch2_reviewed
P3-086,part3,一酸化炭素中毒,advanced,一酸化炭素中毒では、酸素運搬障害により意識障害などを生じることがある。,○,組織低酸素を招く。,潜水障害の基礎,2026-05-19,approved,yes,batch2_reviewed
P3-087,part3,一酸化炭素中毒,advanced,一酸化炭素中毒では、ヘモグロビン結合が弱いため通常すぐ自然回復する。,×,強い結合のため危険で、迅速な酸素投与等が重要である。,潜水障害の基礎,2026-05-19,approved,yes,batch2_reviewed
P3-088,part3,シャローウォーターブラックアウト,advanced,過呼吸後の息こらえ潜水は、浅所失神の危険を高める。,○,CO2低下で呼吸刺激が遅れ、低酸素失神を招きやすい。,潜水安全基準,2026-05-19,approved,yes,batch2_reviewed
P3-089,part3,シャローウォーターブラックアウト,advanced,息こらえ潜水前の過呼吸は、酸素を増やすので常に安全性を高める。,×,失神リスクを高めるため危険である。,潜水安全基準,2026-05-19,approved,yes,batch2_reviewed
P3-090,part3,減圧症,advanced,減圧症症状は、浮上後しばらくしてから現れることが多い。,○,潜水直後から時間差で発症することがある。,潜水障害の基礎,2026-05-19,approved,yes,batch2_reviewed
P3-091,part3,減圧症,advanced,減圧症は、浮上後24時間を過ぎると絶対に発症しない。,×,多くは早期発症だが、時間差で現れる例もある。,潜水障害の基礎,2026-05-19,approved,yes,batch2_reviewed
P3-092,part3,救急対応,advanced,潜水後に神経症状や呼吸困難があれば、重症減圧障害を疑う必要がある。,○,重症例のサインとして重要である。,潜水安全基準,2026-05-19,approved,yes,batch2_reviewed
P3-093,part3,救急対応,advanced,減圧症の痛みがある部位は、加温マッサージを積極的に行うのが推奨される。,×,不用意な加温・マッサージは推奨されない。,潜水安全基準,2026-05-19,approved,yes,batch2_reviewed
P3-094,part3,応急処置,advanced,反応がなく呼吸が正常でない場合、胸骨圧迫を開始する判断が必要になる。,○,一次救命処置の基本である。,消防庁 応急手当,2026-05-19,approved,yes,batch2_reviewed
P3-095,part3,応急処置,advanced,胸骨圧迫では、浅く速く圧迫するほど効果が高い。,×,適切な深さとテンポが重要である。,消防庁 応急手当,2026-05-19,approved,yes,batch2_reviewed
P3-096,part3,応急処置,advanced,AEDの使用では、音声指示に従い、通電時は傷病者から離れる必要がある。,○,救助者や周囲の安全確保が必要である。,消防庁 応急手当,2026-05-19,approved,yes,batch2_reviewed
P3-097,part3,応急処置,advanced,止血では、出血部位の観察もせず止血帯だけを最初から使うのが基本である。,×,直接圧迫など基本手順を踏むことが重要である。,消防庁 応急手当,2026-05-19,approved,yes,batch2_reviewed
P3-098,part3,潜水障害予防,advanced,過度の呼吸抵抗を感じたら、いったん落ち着いて呼吸と状況を整えることが大切である。,○,パニック防止に有効である。,潜水安全基準,2026-05-19,approved,yes,batch2_reviewed
P3-099,part3,潜水障害予防,advanced,耳や副鼻腔に痛みがあっても、我慢して潜降を続ける方がよい。,×,障害悪化防止のため潜降を止めて対処すべきである。,潜水安全基準,2026-05-19,approved,yes,batch2_reviewed
P3-100,part3,潜水障害予防,advanced,潜水障害は、早期認識と適切な初期対応が予後を左右する。,○,見逃し防止と迅速対応が重要である。,潜水安全基準,2026-05-19,approved,yes,batch2_reviewed
